Name,Old_price,New_price,Discount,Rating
Stone TV/DVD Guard And Fridge Guard Voltage Protection,"₦ 15,500","₦ 7,990 - ₦ 8,000",48%,4.1 out of 5
"Hisense 43"" Full HD LED TV 2 USB, 2 HDMI, 1 AV RGB Input","₦ 324,500","₦ 279,999",14%, 
1080P HD Mini Body Camera,"₦ 37,240","₦ 19,600",47%, 
A18 Rechargable Mini Home Theater Bluetooth Fm Boombox., ,"₦ 25,800", ,3.8 out of 5
Jbl Tune 760BT Wireless Overhear Headphones Pure Bass Sound,"₦ 35,000","₦ 15,800",55%, 
32 Inches LED/LCD TV Wall Hanger/Bracket + 13Amp Tv Guard,"₦ 8,000","₦ 6,500",19%,4.2 out of 5
(Influencer Light) Mobile Phone Led Light, ,"₦ 24,500", ,5 out of 5
"HDMI Splitter/Adapter, 1080P 4K HD Video Splitter,Amplifier","₦ 18,900","₦ 10,600",44%,5 out of 5
Baofeng Security Baofeng BF-888S Walkie Talkie Radio With Earpiece (4pcs),"₦ 85,000","₦ 75,000",12%,4.8 out of 5
Nikon D3000 Digital SLR Camera With 18-55mm Lens,"₦ 250,000","₦ 230,000",8%,4.7 out of 5
P47 Earphones Wireless Headphones Inalambicos Support SD Card Bluetooth Earphone,"₦ 11,178","₦ 9,315",17%,5 out of 5
Kchibo FM/MW/SW Digital 12 Band Multiband Portable Radio, ,"₦ 24,500", ,4.8 out of 5
Duracell Rechargeable AAA Battery,"₦ 7,000","₦ 3,999",43%,3.4 out of 5
Cctv Bright Wireless Light Bulb Ip Camera Wifi 360 Degree Camera,"₦ 50,000","₦ 20,000",60%,5 out of 5
Subwoofer Indoor/outdoor Bluetooth FM Recharge Speaker, ,"₦ 22,970", ,4.3 out of 5
Djack Heavy Duty Bluetooth Home Theatre Sound System, ,"₦ 53,000", ,3.8 out of 5
Century Wall Mounted 5000W Automatic Voltage Digital Stabilizer,"₦ 150,000","₦ 135,000",10%,5 out of 5
Hidden Camera SpyPen Recorder Multifunctional Spy Pen,"₦ 35,000","₦ 30,000",14%,4 out of 5
Sony Alkaline AA Batteries - 4 Pcs, ,"₦ 3,500", ,3.5 out of 5
Puluz 49 LED 5W Video Light For Camera / Video,"₦ 8,642","₦ 6,050",30%,4.3 out of 5
wireless FM Ear Phone Bluetooth Earpiece For Ios And Android Hear 5.0 Wireless Earbuds Headphones Earphone Pod (Airpro),"₦ 10,000","₦ 9,550",5%,4.3 out of 5
Universal Travel Adapter With USB Port - 1 Piece, ,"₦ 5,500", ,4.7 out of 5
Camera Lens Protector For IPhone 12\13\14 Pro Max,"₦ 15,000","₦ 3,000 - ₦ 3,500",80%,5 out of 5
(White)1 Pair Large Medium Small Size White Silicone Replacement Ear Buds Tips For Apple Airpods Pro Headphones Earphones Cushions MAS,"₦ 22,970","₦ 18,376",20%, 
Wireless Ip Cctv Bulb Camera Wi-Fi Cctv Camera,"₦ 18,000","₦ 14,000",22%, 
Free To Air Digital Satellite Channels Strong Decoder,"₦ 40,000","₦ 37,500",6%,5 out of 5
2NLF 5G Wifi Security Cameras With LED Alarm 1080p Black,"₦ 29,665","₦ 25,529",14%,5 out of 5
LG DVD Player DV 2608 USB Black,"₦ 25,000","₦ 18,995",24%,2 out of 5
12 Inches Automatic Led Ringlight With Stand  And Phone/camera  Holder, ,"₦ 14,000", ,3.6 out of 5
Super Bass Bluetooth Home Theater,"₦ 75,000","₦ 69,950",7%,4 out of 5
Hifylux Q2-TD79 For Oculus Quest 2 Comfortable Headband Set,"₦ 65,214","₦ 45,650",30%,5 out of 5
Amani 43”inch Ultra HD Smart TV+Netflix.YouTube Free Gift Inside,"₦ 297,800","₦ 219,990",26%,3.7 out of 5
Panasonic Smart Tv Remote Control,"₦ 6,000","₦ 3,500",42%,4.6 out of 5
Replacement Ear Pads for Anker Soundcore Life Q30/Q35 Protein Leather Headphones Earpads(Blue),"₦ 14,448","₦ 7,692",47%,4.9 out of 5
Wireless Stereo Earphone Bluetooth Wireless Earpóds /Neck Bluetooth Earphone Aírpods Super Bass (Neckband),"₦ 9,000","₦ 6,990",22%,2.7 out of 5
Rgb RECHARGEABLE Handheld RGB Tube Light LED Photography Ring Background Lighting Stick For Video Studio Shooting Multicolor Picture Photo Fill Light Box Strips Colourful Lighting, ,"₦ 23,800", ,4.7 out of 5
Hisense Replacement Remote Control, ,"₦ 3,150", ,4 out of 5
"Amani 55""INCHES 4k UHD ANDROID SMART LED TV 4K NEW ARRIVAL Free Gift Inside","₦ 1,378,000","₦ 389,990",72%,4 out of 5
1000w Solar Power Inverter, ,"₦ 28,600", ,2 out of 5
Prag 15KVA Wall Mount Relay Voltage Stabilizer; Input (45V-280V), ,"₦ 482,000", ,4.8 out of 5
Chromecast TV Streaming Device,"₦ 25,000","₦ 10,000",60%, 
Blue Gate 12V / 9Ah Long Life UPS Replacement Battery,"₦ 35,000","₦ 23,999",31%,4.2 out of 5
Screen Cleaning Kit For TV And Computer,"₦ 6,700","₦ 5,500",18%,4.5 out of 5
"Cctv Mini Security,WiFi,Inbuilt Battery,Night Surveillance Camera","₦ 29,000","₦ 24,900",14%,2.3 out of 5
Syinix Smart Tv Replacement Remote Control For Syinix Tv,"₦ 9,000","₦ 5,000",44%,4.1 out of 5
"Royal 55"" inches Google  Smart TV (RTV55GT8 W) - Black","₦ 495,000","₦ 470,000",5%,4.5 out of 5
Deboss XBoom Wireless Bluetooth Soundbar System 1200Watts,"₦ 190,000","₦ 170,000",11%,4.8 out of 5
Puluz Wireless Lavalier Microphone For Type-C Phone,"₦ 36,800","₦ 25,760",30%, 
LASA CE-LINK 4K HDMI 2.0 30HZ 8M FLAT CABLE - BLACK,"₦ 5,392","₦ 2,750",49%,5 out of 5
RC Drone WIFI FPV 4K HD Camera Foldable Selfie  Quadcopter, ,"₦ 60,000", , 
Oraimo Freepods Aìrpods Bluetooth Air Hear Earbud Wireless Pod Aìrpod Hearpod Pods Earphones Earpóds (Oraimo),"₦ 32,900","₦ 24,980",24%,4.2 out of 5
Canon Ink Cart Canon 550D DSLR Digital Camera With 18 To 55mm Lens,"₦ 500,000","₦ 400,000",20%,2.5 out of 5
PowMr 100w 22v 6a Flexible Portable Outdoor Solar Panel,"₦ 133,554","₦ 71,299",47%,3 out of 5
Mixer Blender Replacement Spare Parts Blade For Silver Crest Blender,"₦ 12,000","₦ 8,000",33%,4.2 out of 5
Charger With AA Duracell Rechargable Batteries, ,"₦ 11,700", ,3.9 out of 5
Type C Adapter Android Audio Jack Adapter With Earphone Earpiece,"₦ 5,000","₦ 3,950",21%,4.1 out of 5
Djack POWERFUL THUNDER SOUND SYSTEM DJ-L2,"₦ 196,009","₦ 129,999",34%,2 out of 5
1080P Mini WiFi IP Camera Built-in Battery CCTV Wireless,"₦ 20,000","₦ 12,000",40%, 
Type C Adapter Android Audio Jack Adapter With Earphone Earpiece,"₦ 5,000","₦ 3,950",21%,4.1 out of 5
Djack POWERFUL THUNDER SOUND SYSTEM DJ-L2,"₦ 196,009","₦ 129,999",34%,2 out of 5
Baofeng UV-5R Two Way Radio Walkie Talkie -1PCS,"₦ 48,550","₦ 29,990",38%,4 out of 5
Anker Soundcore Select 2 Portable Waterproof Speaker, ,"₦ 60,400", ,3.8 out of 5
Led Lighting Professional Photos And Videos Light,"₦ 55,000","₦ 50,000",9%,4 out of 5
Outdoor WiFi 1080P IP Camera Solar Power Energy Battery Security Bullet CCTV PIR P2P Wireless,"₦ 78,000","₦ 70,000",10%,5 out of 5
Hdmi HDTV Cable 20M (Male To Male),"₦ 15,000","₦ 10,000",33%,4.6 out of 5
LED Waterproof Multifunctional Flashlight,"₦ 7,647","₦ 3,900",49%, 
Air Pro 3 TWS Bluetooth Wireless Earphones with Microphone Sports Earphones, ,"₦ 12,628", ,3.5 out of 5
Duracell High Power Alkaline Battery AAA 1.5V, ,"₦ 3,150", ,4.4 out of 5
Obdlink Mx Bluetooth Wireless Bluetooth Headphones Earpiece For Apple Iphone And Android Earpóds Headset Gaming For Cheap Price Earphones (STN), ,"₦ 9,900", , 
LG Smart Tv Magic Replacement Remote Control, ,"₦ 18,100", ,3.2 out of 5
Zealot Sparkle B570 Bluetooth Headphones Black,"₦ 17,000","₦ 15,000",12%,4.2 out of 5
soundcore Space One Noise Cancelling Headphones, ,"₦ 129,000", , 
Infinix Replacement Remote Infinix Android Smart Tv Remote Control,"₦ 12,000","₦ 10,000",17%,5 out of 5
Universal Travel Adapter International USB C Charger Socket,"₦ 35,786","₦ 30,000",16%,5 out of 5
100% Genuine Original Smart Android Tv Box MXQ PRO 5G 4K Ultra HD Video+HDMI Cable, ,"₦ 35,000", , 
Newcastle 250W 2.1Ch Audio Sound Bar With Wireless Subwoofer,"₦ 98,000","₦ 97,500",1%,4 out of 5
P9 Headphone Wireless Bluetooth Stereo Foldable - Green,"₦ 12,000","₦ 7,390",38%,3.8 out of 5
Two In One OTG TYPE C Plug & Play + Micro For Android Phones,"₦ 4,500","₦ 3,500",22%,4.8 out of 5
Adjustable TV Wall Mount Bracket 14''-42'',"₦ 9,000","₦ 8,973",1%,4.5 out of 5
LASA 2 IN 1 GOLD-PLATED MINI-HDMI MICRO-HDMI TO HDMI ADAPTOR,"₦ 3,873","₦ 1,975",49%,5 out of 5
Dent Remover For Auto Car Removal Tools Strong Suction Cup Repair Kit Red,"₦ 8,000","₦ 3,800",53%,3 out of 5
Sunfit 12V 7Ah Rechargeable UPS Replacement Battery,"₦ 35,000","₦ 16,000",54%,4.3 out of 5
4K CCD Digital Camera 64MP Digital Video Camera With 3 Lens,"₦ 132,530","₦ 69,750",47%, 
"WIRELESS CHARGER 3 In 1 Wireless Charging Pad, Foldable Wireless Charger For Watch/ /iPhone 14,13,12,12Mini,12ProMax 11,SamSung Galaxy","₦ 50,000","₦ 17,999",64%,4.8 out of 5
DC Voltage Regulator Regulator XH-M401 XL4016E1 High-Power Buck Module DC-DC,"₦ 9,085","₦ 4,542",50%,4.3 out of 5
SPY PEN Camera 1080p Hd Recording Pen, ,"₦ 45,000", ,4 out of 5
Djack Bluetooth Home Theatre System Black,"₦ 90,000","₦ 55,500",38%,3.8 out of 5
USB Dongle Bluetooth USB Mp3 MP4Audio Player Wireless Receiver,"₦ 5,600","₦ 3,800",32%,3 out of 5
Led Lighting Led Pro 600 Ring Light,"₦ 67,000","₦ 56,000",16%, 
"Adjustable- TV Wall Hanger (26"" - 55"" Inches)","₦ 15,000","₦ 14,900",1%,5 out of 5
Felicity Solar 5kva 48v Hybrid Inverter With Inbuilt 6000W MPPT Controller,"₦ 850,000","₦ 560,000",34%,4 out of 5
Anker Soundcore Life Note True Wireless Earbuds, ,"₦ 70,000", ,4.5 out of 5
Anker Soundcore Select 2 Portable Waterproof Speaker, ,"₦ 60,400", ,5 out of 5
Boya BY-M1 Omni-Directional Lavalier Microphone Single,"₦ 15,000","₦ 9,000",40%,4.6 out of 5
LM2596 LM2596S Dual USB DC-DC 9V 12V 24V 36V to 5V 3A Step Down Buck Converter Board Car Charger Solar Power Supply Module,"₦ 5,174","₦ 2,587",50%,4.5 out of 5
Cute Cat Ear Bluetooth 5.0 Wireless LED Earphones With Microphone Noise Cancelling Stereo Music Foldable Earphones In Blue,"₦ 9,286","₦ 6,590",29%,1 out of 5
Headphone / Earphone Splitter Adapter,"₦ 4,871","₦ 3,410",30%, 
Mi Mi+ 2.1Ch Audio Sound Bar With Wireless Subwoofer,"₦ 140,000","₦ 70,000",50%,3.8 out of 5
Headphone / Earphone Splitter Adapter,"₦ 4,871","₦ 3,410",30%, 
Mi Mi+ 2.1Ch Audio Sound Bar With Wireless Subwoofer,"₦ 140,000","₦ 70,000",50%,3.8 out of 5
Samsung MG-20 Samsung Airpods,"₦ 20,000","₦ 15,000",25%,5 out of 5
Iphone Type C To Lightning Usb Cable For IOS Fast Charge, ,"₦ 2,800", ,2 out of 5
Duravolt Wall Mounted Stabilizer AVR DV-2000i,"₦ 90,000","₦ 56,995",37%, 
High Quality 3.5mm Stereo Audio Cable Extension Male To Male 1/2/3m,"₦ 10,000 - ₦ 19,000","₦ 3,999 - ₦ 5,999",68%,4.8 out of 5
itel Wireless ITEL BUDS ACE Bluetooth Earphones Headphones Earpiece For Apple Iphone And Earpóds Android Earbuds Headset For Cheap Price,"₦ 38,500","₦ 17,659",54%,5 out of 5
LED Waterproof Strong Light Torch One Light Dual-use,"₦ 6,863","₦ 3,500",49%,4 out of 5
Dstv HD Remote Control,"₦ 6,000","₦ 3,800",37%,5 out of 5
Earphone Protection Cover Charge Silicone For Airpods Pro,"₦ 6,170","₦ 3,085",50%, 
T55 SMART WATCH T55 Series 6 Smartwatch Bluetooth & Phone Call - 2 Straps,"₦ 20,000","₦ 14,500",28%,4.3 out of 5
Hikvision Wired Hikvision Indoor CCTV Camera Advanced With Dvr,"₦ 35,000","₦ 18,000",49%,4.5 out of 5
Anti Lost OLED Child Kid Tracker SOS Monitoring Positioning Phone,"₦ 19,969","₦ 13,978",30%, 
"Hisense 32''Smart TV With Bluetooth,Netflix,Youtube","₦ 285,000","₦ 219,400",23%,4.4 out of 5
5V 3A Charger Head Digital Display High Compatibility-White,"₦ 8,782","₦ 4,765",46%,4.1 out of 5
18-Pin Carbon Fiber Finger Sleeves for PUBG Mobile Games Contact Screen Finger Sleeves Black & Yellow12 Pcs,"₦ 2,117","₦ 1,058",50%,3 out of 5
360° Object Tracking Holder Shooting Gimbal, ,"₦ 10,999", ,4.7 out of 5
"TV/DVD GUARD/ FRIDGE GUARD, VOLTAGE PROTECTION ADAPTER","₦ 9,500","₦ 9,000",5%,4 out of 5
18650 4600MAH 3.7V Rechargeable Lithium-ion Battery - 2Pcs, ,"₦ 5,000", ,3.8 out of 5
Rohs 14 Inches RGB Ring Light +tripod Stand And Remote Control,"₦ 75,000","₦ 24,000",68%,4.5 out of 5
Rechargeable Batteries With Jiabo Charger, ,"₦ 10,899", ,5 out of 5
Polystar TOWER SOUNDBAR SYSTEM,"₦ 140,000","₦ 94,000",33%,4.8 out of 5
Andoer D2 Handheld RGB Light Tube LED Video Light Wand,"₦ 51,720","₦ 23,930",54%,5 out of 5
LG Smart Tv Remote Control For All Models, ,"₦ 3,390", ,4 out of 5
Boya Condenser Lapel Microphone Lavalier, ,"₦ 7,500", ,4.9 out of 5
Tripod Stand for photo shoot / projectors ,"₦ 14,000","₦ 10,000",29%,5 out of 5
Series 7 Smart Watch Bluetooth Call Health & Multifunctn, ,"₦ 18,000", ,5 out of 5
100% Genuine Original With Warranty Portable Smart Android TV STICK, ,"₦ 50,000", ,4 out of 5
Sony SRS-XB13 Extra Bass Wireless Portable Bluetooth Speaker,"₦ 93,598","₦ 53,799",43%,3 out of 5
Bluetooth Wireless Dong,"₦ 5,500","₦ 3,000",45%,2.5 out of 5
Djack 3.1Ch XBass Bluetooth Home Theatre,"₦ 78,000","₦ 54,500",30%,4.8 out of 5
SINGH Boiling Ring, ,"₦ 5,000", ,4.6 out of 5
E58 Foldable Quadcopter Drone With Camera, ,"₦ 60,000", ,1 out of 5
Stone TV Fridge Voltage Surge Protector Guard 13A,"₦ 10,500","₦ 9,000",14%,4.5 out of 5
Wireless Ip Cctv Bulb Camera Wi-Fi Cctv Camera,"₦ 35,000","₦ 13,800",61%,3 out of 5
SMAAT 43 - 65cm Universal Projector Ceiling Mount - White, ,"₦ 9,500", ,4.7 out of 5
Anycast Miracast HDMI M9 WiFi Dual Frequency Wireless HDMI TV Same Screen Receiver Fit For Tv Mobile Screen Cast, ,"₦ 11,800", ,3.5 out of 5
"AnyCast M4 , Plus HDMI TV Stick 1080P ""No Need Mode Switching"" 3D WiFi Wireless Mini Display Receiver Dongle HDMI TV Miracast DLNA Airplay For IOS Apple IPhone IPad Android Smartphone Windows Mac FITCOOL","₦ 14,000","₦ 11,000",21%,4.5 out of 5
Jbl Original JBL MG S20 - Active Wireless Noise Canceller Earpod,"₦ 40,000","₦ 20,000",50%,3 out of 5
Polystar NEW POLYSTAR TV/ FRIDGE/ HI-FI 13AMPS VOLTAGE PROTECTOR,"₦ 30,000","₦ 7,500",75%,4.6 out of 5
14 Inches Makeup Light - Ringlight Selfie - Instagram,"₦ 35,000","₦ 17,999",49%,4.5 out of 5
Amani 43-Inch LED HD TV + 12 Months Warranty,"₦ 1,176,000","₦ 204,990",83%,3.9 out of 5
Samsung 32 Inch HD Smart LED TV-,"₦ 299,000","₦ 269,000",10%,3 out of 5
Stone TV Fridge Voltage Guard Surge Protector 13A,"₦ 9,500","₦ 5,500",42%,4.7 out of 5
Anker Soundcore R50i Waterproof Gaming Earbuds, ,"₦ 31,200", ,5 out of 5
Professional Voice Key Recorder, ,"₦ 30,000", ,4.8 out of 5
Magicsat Free-to-Air Satellite Decoder, ,"₦ 30,000", , 
Dstv Genuine LNB - KU HD Single For DSTV And Statelite,"₦ 5,000","₦ 3,800",24%,5 out of 5
Firman AVS 13AMPS Voltage Surge Protector- TV/DVD GUARD,"₦ 15,000","₦ 8,999",40%, 
Motorola LONG RANGE WALKIE TALKIE RADIO UHF(1pcs),"₦ 59,000","₦ 30,000",49%,5 out of 5
Smart Tv Box MXQ PRO With Latest Android OS +HDMI Cable,"₦ 65,000","₦ 38,000",42%,4.7 out of 5
Homeflower 2.1ch Portable Powerful Bluetooth Speaker System HF-1101,"₦ 80,000","₦ 29,000",64%, 
14 Inches Makeup Light - Ringlight Selfie - Instagram,"₦ 29,000","₦ 19,000",34%, 
Anycast M9 Plus Wifi Dongle HDMI Mirror Screen Display Projector Amplifier Airplay TV Box Stick Chromecast, ,"₦ 11,700", ,4.5 out of 5
XiaoMi MIJIA D6 Air Drone - 8K Professional Dual Camera Obstacle Avoidance Quadcopter 5000M,"₦ 160,000","₦ 99,990",38%,1 out of 5
Blue Gate 100% Genuine UPS 653KVA Backup. (UK Spec), ,"₦ 52,500", ,4.6 out of 5
Replacement Remote Control For Lg Magic Tv (please Note NO VOICE AND MAGIC CONTROL), ,"₦ 8,000", ,3 out of 5
"Amani 50""INCHE SMART ANDROID 4k Netflix And YouTube+ Free Gift","₦ 450,001","₦ 323,690",28%,5 out of 5
Selfie Light Clip FillLight For Phones/Laptop Portable Light, ,"₦ 24,000", ,4 out of 5
"Amani 32"" INCHES SMART FULL HD LED TV WITH 1 YEAR WARRANTY","₦ 250,990","₦ 149,990",40%,3.7 out of 5
Motorola LONG RANGE WALKIE TALKIE RADIO UHF(1pcs),"₦ 60,000","₦ 30,000",50%,5 out of 5
Time Attendance Biometric Machine With Clock  In Out Report, ,"₦ 58,999", ,3.2 out of 5
Zealot S56 Portable Wireless Bluetooth Speaker 40watts,"₦ 75,000","₦ 57,500",23%,1 out of 5
LG 43-Inch LED FHD + 2 Years Warranty,"₦ 380,000","₦ 355,500",6%,5 out of 5
Fit Type Pattern Wired Type C Headphones Earbuds For Android Type C Enabled Earphone EARPIECE Headset EarPód For Samsung Nokia Redmi Etc (typecearpiece),"₦ 5,000","₦ 4,800",4%,3 out of 5
Bluetooth Speaker Microphone Home Karaoke Kit,"₦ 24,571","₦ 12,900",47%, 
"Tecno 3 In 1 Multi Fast Charging Cable TYPE C, LIGHTNING AND MICRO USB","₦ 5,000","₦ 3,400",32%, 
5 Meters(16Fts) Length Oculus Quest 1&2 Braided Cable,"₦ 16,700","₦ 12,999",22%,4.4 out of 5
Energy 65 INCHES 4k LED SMART TV,"₦ 1,678,901","₦ 789,490",53%, 
"TV  Wireless Audio Transmitter, TV Audio Bluetooth Device","₦ 11,300","₦ 9,000",20%,4.7 out of 5
"Tripod Camera, Phone Stand","₦ 45,650","₦ 22,500",51%,1 out of 5
Car Kit Handsfree FM Transmitter MP3 Player USB Charger,"₦ 4,900","₦ 3,900",20%,5 out of 5
ChromeCast Tv Wireless Display Dongle,"₦ 50,000","₦ 14,700",71%, 
Zealot SOLID B20 HiFi Stereo Bluetooth Headphone Wireless Headset Superb OverEar Handsfree With Microphone,"₦ 26,000","₦ 21,300",18%,3.5 out of 5
Binatone 5000 VA Digital Voltage Stablizer (DVS-5001),"₦ 286,550","₦ 156,099",46%,4.7 out of 5
Sonix 43 Inch Super FULL HD LED TV + Wall Hanger,"₦ 240,000","₦ 210,950",12%,4.3 out of 5
"Energy TV20""INCHES FULL HD LED TV PROMO PRICE 1YEAR WARRANTY","₦ 145,999","₦ 90,930",38%,5 out of 5
Usb-c Earpods For IPhone 15 Series And Other Type C Devices,"₦ 15,000","₦ 10,000",33%, 
Panasonic Replacement Tv Remote Control, ,"₦ 3,500", ,5 out of 5
Raymax AAAA Alkaline Batteries - 1 Pack, ,"₦ 3,400", ,4.7 out of 5
Raymax AAAA Alkaline Batteries - 1 Pack, ,"₦ 3,400", ,4.7 out of 5
Replacement Remote Control For Polystar Tv, ,"₦ 3,300", , 
Anycast Original PLUS HDMI WiFi Wireless TV Display Dongle Anycast, ,"₦ 11,700", ,3.8 out of 5
"Infinity 40"" INCHES SMART FULL HD LED TV + FREE WALL HANGER","₦ 258,000","₦ 219,499 - ₦ 219,500",15%,4.6 out of 5
"Male To XLR Female Audio Link Cable, XLR To Phone Cable 3M","₦ 5,900","₦ 4,900",17%,3.3 out of 5
Power Adapter 12v 5A For CCTV Cameras With Power Cord, ,"₦ 4,300", ,4.5 out of 5
Fujifilm Instax Mini Instant Film 20 Sheets,"₦ 52,000","₦ 50,000",4%,5 out of 5
2.4GHz Wireless Remote Control Projector Presentation PPT Flip Pen Pointer,"₦ 12,900","₦ 7,500",42%, 
Remote Control- Organizer Remote- Caddy Remote Holder Stand, ,"₦ 7,580", ,4.3 out of 5
Zealot S67 Portable 60W Wireless Bluetooth Speaker,"₦ 98,000","₦ 76,500",22%,4.5 out of 5
1500W Power Inverter, ,"₦ 29,500", ,4.3 out of 5
Samsonic 40-Inch  Smart Full HD LED Television (1 Years Warranty),"₦ 285,000","₦ 210,500",26%,4.5 out of 5
Zealot S97 80W Super Bass 16000mah Battery Wireless Bluetooth Speaker,"₦ 150,000","₦ 122,900",18%, 
"Amani 43'' UHD Smart 4K TV+Netflix,Youtube,Magic Remote(Amani)","₦ 1,240,009","₦ 223,990",82%, 
Bone Conduction Bluetooth Headsets Wireless Earphones,"₦ 73,385","₦ 4,298",94%, 
Obdlink Mx Bluetooth Wireless Bluetooth Earphones Headphones Earpiece For Apple Iphone And Earpóds Android Earbuds Headset For Cheap Price (Stn),"₦ 15,000","₦ 9,950",34%, 
Home 1080P High-definition Night Vision Camera,"₦ 31,429","₦ 17,900",43%, 
VIEWSAT Satellite HD RF Full HD Decoder 220v/12v,"₦ 38,000","₦ 24,500",36%,4.8 out of 5
Hisense Replacement AC Remote Control, ,"₦ 4,499", ,5 out of 5
Baofeng BF-888S Walkie Talkie Two Way Radio,"₦ 17,000","₦ 14,000",18%,4.8 out of 5
"Infinity 55"" Inch SMART UHD 4K TV 2024 Promo - FREE WALL BRACKET","₦ 420,900 - ₦ 427,000","₦ 379,223 - ₦ 379,300",11%,4.6 out of 5
360degree Panoramic 1080p Hidden Camera WiFi Fisheye Cctv,"₦ 35,000","₦ 30,000",14%,4.4 out of 5
Free To Air Digital Satellite Channels Decoder,"₦ 30,500","₦ 30,000",2%, 
10000MAH Mini UPS Battery Backup/Router Power Bank., ,"₦ 32,000", ,3.5 out of 5
TCL Remote For Smart LED TV, ,"₦ 5,500", ,3.8 out of 5
Rohs 14 Inch Ring Light & Tripod Stand & Phone Holder Dimmable RGB LED Selfie RingLights & Contorler For Photos & YouTube Videos,"₦ 35,000","₦ 25,999",26%,5 out of 5
Djack 3.1ch Powerful Bluetooth Home Theater Dj-d3l +  DVD Player, ,"₦ 69,900", ,5 out of 5
CRYSTAL SOUND Portable Bluetooth Speaker,"₦ 20,000","₦ 15,900",21%,3.2 out of 5
LG Xboom Bluetooth HiFi Home Audio System CJ44 - 480Watts,"₦ 325,000","₦ 266,900",18%, 
P47 Earphones Wireless Headphones Inalambicos Support SD Card Bluetooth Earphone,"₦ 11,178","₦ 9,315",17%,5 out of 5
OTG Adapter For Lightning To USB 3 Camera Reader With 3.5mm Headphone Jack Connection Kits Data Sync For IPhone 11/X/XR/XS/8/7,"₦ 24,772","₦ 20,636",17%, 
Djack 3.1 Super Sound Bluetooth Home Theater 2021,"₦ 98,000","₦ 80,900",17%, 
1080P Mini WiFi Spy Digital Clock Ip Cctv Camera,"₦ 90,000","₦ 37,000",59%,1 out of 5
Rohs 14 Inches (MJ36) Led Selfie Light - With Tripod Stand,"₦ 55,000","₦ 21,999",60%,4.4 out of 5
100%  Genuine Original Smart Android Tv Box MXQ PRO 5G 4K+Wireless Keyboard, ,"₦ 45,000", ,3.9 out of 5
Remote Organizer,"₦ 7,500","₦ 6,750",10%, 
Rechargeable Led Light Kit Pro LED 600 + Batteries +Stand,"₦ 200,000","₦ 55,000",73%,4.4 out of 5
2000w Solar Power Inverter With Inbuilt Charger 20A, ,"₦ 58,600", ,3 out of 5
1080P HD Mini Body Camera with Audio and Video Recording Portable Video Recorder 180°Lens Rotatable with Night Vision Large Battery Capacity 90°Wide Angle with Back Clip for Daily Record/Service/Delivery NO5113,"₦ 36,450","₦ 22,664",38%, 
150W Car Power Inverter DC 12V To 220V AC,"₦ 15,000","₦ 13,900",7%,4.4 out of 5
Oraimo Bluetooth Wireless  Stereo SOUNDBAR SPEAKER,"₦ 47,000","₦ 25,990",45%,4.7 out of 5
Tv Wall Bracket -Hanger - 32-50inch,"₦ 7,000","₦ 5,395",23%,4.8 out of 5
Zealot S75 Portable Stereo Wireless Bluetooth Speaker,"₦ 40,000","₦ 28,000",30%, 
itel Solar Light System With FM Radio &3pcs Super Bright Bulbs,"₦ 100,000","₦ 37,999",62%, 
T800 Ultra Series 8 Bluetooth Calling Smart Watch for iOS Android,"₦ 20,655","₦ 11,016",47%,4 out of 5
2 in 1 USB OTG Cable Type-C/Micro-USB to USB 3.0 Adapter Braided Designed Data Transfer Cable for Andriod PhoneGrey,"₦ 3,381","₦ 1,691",50%,4.5 out of 5
Rohs 14 Inches (LJJ36) Led Selfie Light - With Tripod Stand,"₦ 45,000","₦ 18,500",59%,5 out of 5
Wireless CCTV Camera Security Bulb Camera,"₦ 30,000","₦ 29,700",1%,5 out of 5
Realme Wireless Wireless Earbuds Bluetooth Headphones Earpöds Earpiece Fingerprint Touch Control  5 3 Bass Iphone Headset 5 0 (F9),"₦ 17,000","₦ 8,599",49%, 
3 In 1 Live Streaming Vlog Vlogging Video Making Kit, ,"₦ 13,999", ,5 out of 5
Djack Bluetooth Home Theater XBOOM System (Sounds Good),"₦ 88,000","₦ 81,500",7%,4 out of 5
Oraimo FireFly 2U 12W Wall Charger Kit Lightning,"₦ 8,000","₦ 6,000",25%, 
Binatone Cool Guard Voltage Protector-ACG 1500,"₦ 40,000","₦ 26,000",35%, 
"Hisense 32"" LED HD TV Bezelless Design, + Free Wall Bracket","₦ 215,000","₦ 199,500",7%, 
Samsung 32inch Ultra Flat Screen LED TV,"₦ 320,000","₦ 190,000",41%,3.7 out of 5
Mi+ Powerful Bluetooth Soundbar With Subwoofer Wireless,"₦ 95,000","₦ 64,900",32%,4.5 out of 5
Djack POWERFUL THUNDER SOUND SYSTEM DJ-L2  (NEW ARRIVAL),"₦ 170,000","₦ 128,000",25%,4.3 out of 5
Professional Video And Photo Led Light Kit With Varicolour And Tripod + 2battery And Charger, ,"₦ 49,900", ,4.3 out of 5
Dual Lens Solar Powered Smart Alarm Ptz Security Camera,"₦ 365,000","₦ 135,000",63%, 
Duracell Rechargeable AA R6 1.2V Battery, ,"₦ 3,950", ,3.7 out of 5
Lithium 18650 Rechargeable Lion Battery 3.7V - 1pc, ,"₦ 2,199", ,5 out of 5
Fujifilm Instax Mini Monochrome Instant Film, ,"₦ 30,000", ,5 out of 5
