Name,Old_price,New_price,Discount,Rating
D-Marc Quality Fridge Guard 13Amp +TV/Audio-Guard 13Amp+ AC Guard,"₦ 26,000","₦ 20,700",20%,4.3 out of 5
Wireless Ip Cctv Bulb Camera Wi-Fi Cctv Camera,"₦ 35,000","₦ 13,999",60%,3.8 out of 5
"Samsonic 43"" Inches  Smart LED TV  Samsonic","₦ 350,000","₦ 238,900",32%,4.5 out of 5
Samsung Replacement Universal Smart Tv Remote Control,"₦ 5,000","₦ 3,800",24%,4.3 out of 5
D-Marc TV GUARD/VOLTAGE PROTECTION ADAPTOR -13AMPS,"₦ 10,000","₦ 6,900",31%,3.9 out of 5
Super Class Home Cinema System,"₦ 100,000","₦ 81,000",19%,5 out of 5
Skyrun 10000 MAh Pro Fast Charging Power-Bank (22.5W) - Black,"₦ 30,645","₦ 13,990",54%,1 out of 5
Gotv REMOTE CONTROL FOR GoTV DECODER, ,"₦ 2,800", ,3.7 out of 5
Andoer Mini LED Video Light Photography Fill-in Lamp 6500K,"₦ 23,790","₦ 12,520",47%,4.7 out of 5
S1S 4K HD Professional HD Dual Camera Obstacle Avoidance Drone Brushless Foldable Quadcopter, ,"₦ 99,999", ,4.5 out of 5
MS-881A Bluethooth Wireless Headset (Light Blue),"₦ 15,000","₦ 13,100",13%,5 out of 5
"Mi+ 32"" Inches FHD TV (MI32D02A) + 12 Months Warranty - Black","₦ 182,767","₦ 114,490",37%,4.3 out of 5
Video Making Vlogging Kit For All Phones & Camera, ,"₦ 16,000", , 
Djack Bluetooth Home Theatre DJ-D3L,"₦ 80,000","₦ 58,000",28%,4 out of 5
TSES AUTOMATIC VOLTAGE STABILIZER WALL MOUNTED 5000VA, ,"₦ 115,000", ,4.4 out of 5
Hifinit Movie LED TV 1080P 6000 Lumen MINI Projector,"₦ 207,122","₦ 145,999",30%,3.5 out of 5
PowMr Battery Equalizer For 2x12V Batteries Battery Balancer,"₦ 26,318","₦ 17,827",32%,3.9 out of 5
